Property ID,Property Type,Location,Size,No of rooms,Year Built,Floor level,Building Condition,Price,Rent,Property Tax,Maintenance Cost,HOA Fees,Mortgage Interest Rate,Average Price per Square Meter,Price Change,Rental Yield,Days on Market
84,House,Charlottenburg-Wilmersdorf,145,1,1950,2,Excellent,415572,1732,6234,4156,173,3.83,2866,-2.35,5.0,48
85,House,Schöneberg,96,2,1968,1,Good,664443,2769,9967,6644,277,3.76,6921,8.04,5.0,71
86,House,Mitte,118,4,2008,3,Good,697613,2907,10464,6976,291,3.32,5912,0.19,5.0,73
87,Apartment,Schöneberg,39,3,1925,4,Good,291018,1213,4365,2910,121,2.9,7462,7.46,5.0,71
88,House,Lichtenberg,92,1,1920,5,Fair,730594,3044,10959,7306,304,3.34,7941,-0.16,5.0,112
89,House,Schöneberg,100,3,1971,5,Excellent,368999,1537,5535,3690,154,3.98,3690,3.03,5.0,70
90,Apartment,Neukölln,118,1,1996,1,Excellent,858221,3576,12873,8582,358,3.09,7273,8.06,5.0,83
91,Apartment,Tempelhof-Schöneberg,135,4,1902,4,Fair,1032908,4304,15494,10329,430,3.79,7651,-2.56,5.0,69
92,Apartment,Neukölln,141,3,1980,1,Poor,820316,3418,12305,8203,342,4.48,5818,5.77,5.0,34
93,Apartment,Mitte,91,1,1972,5,Good,621591,2590,9324,6216,259,4.18,6831,0.14,5.0,77
94,Apartment,Charlottenburg-Wilmersdorf,124,4,2015,1,Fair,885565,3690,13283,8856,369,3.63,7142,9.12,5.0,37
95,House,Reinickendorf,86,2,1960,4,Excellent,528022,2200,7920,5280,220,4.44,6140,-3.98,5.0,120
96,Apartment,Reinickendorf,65,1,1939,5,Good,524635,2186,7870,5246,219,2.98,8071,9.37,5.0,97
97,Apartment,Prenzlauer Berg,38,4,1998,1,Poor,63851,266,958,639,27,3.3,1680,-4.52,5.0,89
98,Apartment,Marzahn-Hellersdorf,146,3,1964,3,Poor,573256,2389,8599,5733,239,4.36,3926,-4.51,5.0,48
99,Apartment,Friedrichshain-Kreuzberg,108,1,1944,4,Poor,623492,2598,9352,6235,260,4.5,5773,-1.04,5.0,114
100,Apartment,Reinickendorf,58,4,2000,5,Fair,345605,1440,5184,3456,144,3.47,5959,9.5,5.0,59
101,House,Reinickendorf,138,3,2018,5,Poor,1024501,4269,15368,10245,427,2.8,7424,-3.02,5.0,32
102,Apartment,Marzahn-Hellersdorf,90,4,1930,5,Excellent,793367,3306,11901,7934,331,4.23,8815,3.09,5.0,59
103,House,Mitte,39,1,1983,2,Excellent,134414,560,2016,1344,56,3.19,3447,6.67,5.0,97
104,House,Prenzlauer Berg,91,1,1974,3,Good,536166,2234,8042,5362,223,3.12,5892,-0.95,5.0,68
105,House,Mitte,44,1,1930,4,Excellent,89905,375,1349,899,38,3.12,2043,-2.87,5.01,55
106,House,Spandau,102,2,1926,4,Fair,666265,2776,9994,6663,278,2.67,6532,9.32,5.0,66
107,Apartment,Lichtenberg,83,1,1912,5,Excellent,614714,2561,9221,6147,256,3.46,7406,3.9,5.0,76
108,House,Lichtenberg,61,1,1920,3,Good,312410,1302,4686,3124,130,3.24,5121,-2.52,5.0,73
109,Apartment,Charlottenburg-Wilmersdorf,36,3,1988,5,Good,79082,330,1186,791,33,2.94,2197,-4.25,5.01,45
110,Apartment,Marzahn-Hellersdorf,138,4,1946,3,Fair,1061318,4422,15920,10613,442,2.53,7691,-0.13,5.0,75
111,Apartment,Tempelhof-Schöneberg,54,2,1981,3,Fair,247516,1031,3713,2475,103,4.28,4584,8.42,5.0,112
112,House,Schöneberg,85,4,1935,4,Fair,240411,1002,3606,2404,100,4.02,2828,-0.47,5.0,78
113,House,Neukölln,41,1,1951,4,Poor,232984,971,3495,2330,97,3.53,5683,-0.25,5.0,97
114,House,Marzahn-Hellersdorf,127,2,2006,1,Fair,535658,2232,8035,5357,223,3.4,4218,9.34,5.0,36
115,House,Friedrichshain-Kreuzberg,126,4,1915,2,Poor,1114158,4642,16712,11142,464,4.01,8843,7.37,5.0,67
116,Apartment,Mitte,140,1,2021,5,Fair,938929,3912,14084,9389,391,3.1,6707,4.19,5.0,63
117,Apartment,Treptow-Köpenick,81,3,1988,3,Fair,657944,2741,9869,6579,274,3.5,8123,-0.56,5.0,40
118,Apartment,Treptow-Köpenick,104,1,1958,2,Good,418046,1742,6271,4180,174,3.07,4020,4.38,5.0,60
119,House,Friedrichshain-Kreuzberg,137,3,1978,2,Fair,298631,1244,4479,2986,124,3.49,2180,9.13,5.0,47
120,Apartment,Prenzlauer Berg,35,3,1909,1,Good,205798,857,3087,2058,86,4.47,5880,4.58,5.0,109
121,Apartment,Treptow-Köpenick,61,2,1900,5,Fair,160309,668,2405,1603,67,3.39,2628,-4.75,5.0,98
122,House,Friedrichshain-Kreuzberg,99,2,1959,2,Excellent,475831,1983,7137,4758,198,4.04,4806,1.68,5.0,88
123,House,Friedrichshain-Kreuzberg,93,2,1978,3,Good,349714,1457,5246,3497,146,2.66,3760,2.21,5.0,56
124,Apartment,Mitte,123,1,1952,2,Poor,577646,2407,8665,5776,241,2.83,4696,-1.41,5.0,107
125,House,Reinickendorf,49,3,1985,1,Excellent,427049,1779,6406,4270,178,3.42,8715,5.4,5.0,31
126,Apartment,Mitte,78,3,1908,3,Fair,298340,1243,4475,2983,124,3.97,3825,5.85,5.0,39
127,Apartment,Charlottenburg-Wilmersdorf,53,3,1952,4,Good,391886,1633,5878,3919,163,4.1,7394,3.47,5.0,80
128,Apartment,Mitte,79,2,1909,3,Fair,169261,705,2539,1693,70,3.29,2143,-1.57,5.0,113
129,Apartment,Friedrichshain-Kreuzberg,122,4,1984,3,Good,829153,3455,12437,8292,346,3.95,6796,-3.81,5.0,101
130,House,Marzahn-Hellersdorf,141,2,1934,2,Poor,1213234,5055,18199,12132,506,2.6,8604,9.81,5.0,119
131,House,Charlottenburg-Wilmersdorf,105,3,1908,1,Good,915774,3816,13737,9158,382,3.1,8722,4.44,5.0,30
132,House,Schöneberg,107,1,1980,5,Excellent,604913,2520,9074,6049,252,3.78,5653,-2.42,5.0,104
133,Apartment,Reinickendorf,54,3,1992,2,Fair,393135,1638,5897,3931,164,3.62,7280,6.22,5.0,60
134,Apartment,Tempelhof-Schöneberg,103,3,1903,5,Poor,610142,2542,9152,6101,254,3.59,5924,2.52,5.0,74
135,Apartment,Mitte,63,4,1930,2,Good,223447,931,3352,2234,93,4.24,3547,3.98,5.0,82
136,Apartment,Charlottenburg-Wilmersdorf,148,4,1950,1,Good,880090,3667,13201,8801,367,2.52,5947,3.03,5.0,76
137,Apartment,Charlottenburg-Wilmersdorf,56,3,2011,2,Fair,209498,873,3142,2095,87,2.69,3741,-3.14,5.0,66
138,House,Tempelhof-Schöneberg,57,3,1901,5,Fair,410369,1710,6156,4104,171,3.83,7199,-1.36,5.0,30
139,House,Schöneberg,97,4,1924,4,Poor,215076,896,3226,2151,90,2.88,2217,-2.02,5.0,62
140,House,Marzahn-Hellersdorf,114,1,1923,5,Fair,805147,3355,12077,8051,336,4.01,7063,1.39,5.0,86
141,House,Steglitz-Zehlendorf,69,2,1936,4,Fair,444931,1854,6674,4449,185,4.29,6448,4.63,5.0,77
142,House,Spandau,148,3,2023,5,Fair,965942,4025,14489,9659,402,3.88,6527,5.86,5.0,49
143,House,Marzahn-Hellersdorf,102,4,2006,4,Fair,472294,1968,7084,4723,197,2.79,4630,8.05,5.0,112
144,House,Charlottenburg-Wilmersdorf,140,4,1924,5,Poor,410304,1710,6155,4103,171,2.63,2931,7.3,5.0,52
145,House,Steglitz-Zehlendorf,63,3,2017,3,Excellent,197170,822,2958,1972,82,3.63,3130,2.03,5.0,109
146,Apartment,Lichtenberg,84,2,1992,1,Poor,358108,1492,5372,3581,149,3.8,4263,7.01,5.0,115
147,Apartment,Schöneberg,146,1,1914,4,Poor,1214707,5061,18221,12147,506,3.57,8320,6.18,5.0,57
148,House,Mitte,42,2,1951,5,Fair,146760,612,2201,1468,61,4.2,3494,0.05,5.0,30
149,Apartment,Schöneberg,138,2,1977,2,Fair,404828,1687,6072,4048,169,4.03,2934,3.46,5.0,53
150,House,Friedrichshain-Kreuzberg,35,2,1996,3,Excellent,267775,1116,4017,2678,112,3.69,7651,2.27,5.0,73
151,Apartment,Friedrichshain-Kreuzberg,41,3,1960,2,Excellent,138825,578,2082,1388,58,4.17,3386,6.89,5.0,100
152,Apartment,Tempelhof-Schöneberg,139,1,2007,3,Good,1162488,4844,17437,11625,484,3.28,8363,-2.09,5.0,65
153,House,Friedrichshain-Kreuzberg,111,2,1961,1,Good,937251,3905,14059,9373,390,2.57,8444,3.81,5.0,43
154,Apartment,Reinickendorf,150,2,1982,2,Poor,1219377,5081,18291,12194,508,3.39,8129,3.48,5.0,118
155,House,Neukölln,137,3,2004,3,Poor,616167,2567,9243,6162,257,2.97,4498,0.97,5.0,42
156,Apartment,Charlottenburg-Wilmersdorf,97,3,1979,1,Excellent,234661,978,3520,2347,98,2.85,2419,3.02,5.0,109
157,House,Friedrichshain-Kreuzberg,41,2,1904,2,Good,237151,988,3557,2372,99,3.99,5784,1.98,5.0,73
158,House,Charlottenburg-Wilmersdorf,105,2,1965,5,Excellent,759871,3166,11398,7599,317,4.43,7237,-4.65,5.0,61
159,Apartment,Mitte,144,2,1982,2,Poor,348294,1451,5224,3483,145,2.56,2419,3.99,5.0,97
160,House,Prenzlauer Berg,125,2,1926,1,Poor,956772,3987,14352,9568,399,2.8,7654,-1.63,5.0,47
161,House,Spandau,136,2,1983,1,Excellent,927463,3864,13912,9275,386,4.16,6820,3.52,5.0,111
162,Apartment,Steglitz-Zehlendorf,54,3,1902,3,Excellent,288717,1203,4331,2887,120,3.88,5347,5.66,5.0,93
163,House,Mitte,116,4,1974,5,Poor,932590,3886,13989,9326,389,2.77,8040,-0.28,5.0,102
164,House,Tempelhof-Schöneberg,54,4,1955,2,Good,226973,946,3405,2270,95,2.6,4203,3.08,5.0,55
165,House,Marzahn-Hellersdorf,128,4,2012,4,Good,540939,2254,8114,5409,225,2.95,4226,8.74,5.0,118
166,House,Treptow-Köpenick,148,4,1955,1,Fair,1117939,4658,16769,11179,466,3.48,7554,7.9,5.0,118
167,Apartment,Charlottenburg-Wilmersdorf,59,4,1932,3,Good,254953,1062,3824,2550,106,2.92,4321,4.0,5.0,83
168,House,Steglitz-Zehlendorf,118,1,1968,4,Poor,824432,3435,12366,8244,344,3.25,6987,6.02,5.0,37
169,House,Lichtenberg,33,1,2023,1,Poor,261778,1091,3927,2618,109,3.31,7933,-1.82,5.0,39
170,Apartment,Reinickendorf,111,4,2001,5,Excellent,559524,2331,8393,5595,233,3.82,5041,6.31,5.0,69
171,House,Steglitz-Zehlendorf,44,4,1926,3,Fair,323036,1346,4846,3230,135,2.7,7342,0.98,5.0,49
172,House,Treptow-Köpenick,46,4,2012,3,Poor,330430,1377,4956,3304,138,3.42,7183,4.44,5.0,120
173,House,Prenzlauer Berg,71,2,1924,5,Good,431480,1798,6472,4315,180,2.93,6077,6.36,5.0,40
174,Apartment,Friedrichshain-Kreuzberg,86,4,1987,3,Fair,484680,2020,7270,4847,202,3.61,5636,-3.98,5.0,63
175,Apartment,Spandau,38,1,1973,5,Poor,319685,1332,4795,3197,133,3.11,8413,-2.87,5.0,75
176,Apartment,Prenzlauer Berg,142,2,1987,5,Poor,258085,1075,3871,2581,108,2.58,1818,-1.41,5.0,94
177,Apartment,Neukölln,49,1,2019,5,Excellent,283017,1179,4245,2830,118,3.32,5776,2.48,5.0,119
178,House,Schöneberg,69,3,1900,1,Good,392248,1634,5884,3922,163,3.01,5685,6.29,5.0,69
179,Apartment,Marzahn-Hellersdorf,34,2,1987,3,Fair,297042,1238,4456,2970,124,3.72,8737,2.45,5.0,85
180,House,Neukölln,50,3,1922,3,Good,277139,1155,4157,2771,116,3.05,5543,-0.05,5.0,112
181,House,Tempelhof-Schöneberg,89,3,1914,3,Fair,335681,1399,5035,3357,140,2.66,3772,1.37,5.0,99
182,House,Neukölln,91,3,1931,1,Fair,322148,1342,4832,3221,134,3.91,3540,-4.67,5.0,114
183,House,Spandau,52,3,1984,3,Excellent,264224,1101,3963,2642,110,3.64,5081,-1.62,5.0,48
184,Apartment,Friedrichshain-Kreuzberg,61,3,1922,5,Good,361977,1508,5430,3620,151,3.64,5934,8.85,5.0,63
185,House,Marzahn-Hellersdorf,87,2,1987,3,Fair,421976,1758,6330,4220,176,2.52,4850,7.44,5.0,67
186,Apartment,Reinickendorf,59,3,1955,2,Fair,358454,1494,5377,3585,149,4.02,6075,-0.09,5.0,33
187,Apartment,Spandau,133,2,1993,4,Good,1136862,4737,17053,11369,474,3.98,8548,-3.53,5.0,87
188,House,Spandau,40,3,1913,2,Poor,79319,330,1190,793,33,3.73,1983,-3.23,4.99,108
189,Apartment,Neukölln,89,2,1996,1,Good,779232,3247,11688,7792,325,3.32,8755,4.06,5.0,86
190,Apartment,Reinickendorf,132,2,1964,1,Excellent,406614,1694,6099,4066,169,4.09,3080,3.12,5.0,107
191,Apartment,Spandau,150,4,1957,1,Fair,1084507,4519,16268,10845,452,2.75,7230,9.67,5.0,30
192,Apartment,Friedrichshain-Kreuzberg,117,1,1943,2,Excellent,500843,2087,7513,5008,209,3.4,4281,9.07,5.0,69
193,Apartment,Mitte,75,1,2000,4,Poor,130187,542,1953,1302,54,3.85,1736,-4.94,5.0,54
194,House,Charlottenburg-Wilmersdorf,150,4,1988,3,Good,1166563,4861,17498,11666,486,4.01,7777,-2.56,5.0,42
195,Apartment,Tempelhof-Schöneberg,97,4,1929,1,Good,249104,1038,3737,2491,104,3.54,2568,3.34,5.0,86
196,Apartment,Tempelhof-Schöneberg,73,4,1941,4,Good,591472,2464,8872,5915,246,2.95,8102,7.54,5.0,57
197,Apartment,Lichtenberg,123,3,1919,3,Excellent,774810,3228,11622,7748,323,4.27,6299,0.72,5.0,69
198,House,Tempelhof-Schöneberg,122,3,1938,1,Excellent,999702,4165,14996,9997,416,3.97,8194,-4.77,5.0,49
199,House,Friedrichshain-Kreuzberg,138,2,1933,2,Poor,693881,2891,10408,6939,289,4.36,5028,5.9,5.0,112
200,Apartment,Lichtenberg,54,1,1939,4,Excellent,268600,1119,4029,2686,112,3.96,4974,2.88,5.0,92
201,House,Tempelhof-Schöneberg,149,2,1924,4,Fair,916082,3817,13741,9161,382,3.11,6148,9.76,5.0,69
202,Apartment,Steglitz-Zehlendorf,113,4,1945,4,Poor,946542,3944,14198,9465,394,4.36,8376,6.9,5.0,40
203,House,Spandau,72,2,1997,1,Good,637740,2657,9566,6377,266,3.63,8858,-4.86,5.0,112
204,Apartment,Treptow-Köpenick,137,3,1949,5,Excellent,1083629,4515,16254,10836,452,4.24,7910,5.29,5.0,65
205,House,Prenzlauer Berg,69,2,2008,3,Good,390209,1626,5853,3902,163,2.71,5655,8.17,5.0,50
206,Apartment,Charlottenburg-Wilmersdorf,47,3,1944,5,Good,262971,1096,3945,2630,110,3.15,5595,0.32,5.0,101
207,House,Treptow-Köpenick,150,2,2021,3,Fair,1290348,5376,19355,12903,538,3.76,8602,1.56,5.0,68
208,House,Lichtenberg,50,1,1949,5,Good,403096,1680,6046,4031,168,3.26,8062,3.08,5.0,106
209,Apartment,Charlottenburg-Wilmersdorf,97,2,1922,4,Fair,791071,3296,11866,7911,330,4.13,8155,0.58,5.0,98
210,House,Friedrichshain-Kreuzberg,134,3,1943,3,Excellent,375672,1565,5635,3757,156,4.13,2804,2.95,5.0,61
211,Apartment,Reinickendorf,144,1,1995,4,Poor,1195502,4981,17933,11955,498,3.67,8302,8.41,5.0,30
212,House,Schöneberg,46,4,1979,5,Fair,138466,577,2077,1385,58,3.23,3010,1.0,5.0,110
213,House,Mitte,93,1,2014,4,Fair,338811,1412,5082,3388,141,4.5,3643,8.61,5.0,30
214,Apartment,Lichtenberg,85,2,2020,1,Poor,284355,1185,4265,2844,118,3.46,3345,7.19,5.0,102
215,Apartment,Neukölln,125,3,1989,1,Fair,299219,1247,4488,2992,125,4.04,2394,8.51,5.0,101
216,Apartment,Friedrichshain-Kreuzberg,57,2,1992,5,Good,266693,1111,4000,2667,111,2.57,4679,4.86,5.0,66
217,House,Charlottenburg-Wilmersdorf,121,4,1931,2,Poor,702761,2928,10541,7028,293,2.56,5808,2.95,5.0,42
218,Apartment,Spandau,121,3,1944,2,Fair,772195,3217,11583,7722,322,3.17,6382,5.19,5.0,94
219,House,Lichtenberg,58,1,1932,1,Poor,204725,853,3071,2047,85,4.3,3530,-0.72,5.0,32
220,House,Treptow-Köpenick,80,3,2002,2,Excellent,338047,1409,5071,3380,141,4.13,4226,1.71,5.0,50
221,House,Schöneberg,136,1,1974,5,Fair,911499,3798,13672,9115,380,3.31,6702,3.65,5.0,110
222,House,Reinickendorf,96,2,1965,5,Excellent,329014,1371,4935,3290,137,2.89,3427,-1.09,5.0,112
223,Apartment,Charlottenburg-Wilmersdorf,49,2,2013,1,Fair,349516,1456,5243,3495,146,2.89,7133,3.1,5.0,52
224,Apartment,Friedrichshain-Kreuzberg,143,1,2018,3,Good,987660,4115,14815,9877,412,4.03,6907,8.36,5.0,113
225,Apartment,Charlottenburg-Wilmersdorf,59,2,1979,4,Fair,512748,2136,7691,5127,214,3.17,8691,1.13,5.0,66
226,House,Tempelhof-Schöneberg,39,1,2013,2,Poor,320574,1336,4809,3206,134,3.43,8220,-0.56,5.0,116
227,House,Friedrichshain-Kreuzberg,129,4,1947,4,Poor,880917,3670,13214,8809,367,3.57,6829,7.58,5.0,102
228,Apartment,Mitte,104,2,1981,1,Excellent,277419,1156,4161,2774,116,4.47,2667,5.74,5.0,64
229,House,Marzahn-Hellersdorf,129,1,1941,5,Poor,541492,2256,8122,5415,226,3.03,4198,-2.04,5.0,69
